47 MySakila Drive	12345	24532452345
28 MySQL Boulevard	54321	345243523452
23 Workhaven Lane	12363	345243523452
1411 Lillydale Drive	56131	6172235589
1913 Hanoi Way	35200	28303384290
1121 Loja Avenue	17886	838635286649
692 Joliet Street	83579	448477190408
1566 Inegl Manor	53561	705814003527
53 Idfu Parkway	42399	10655648674
1795 Santiago de Compostela Way	18743	860452626434
900 Santiago de Compostela Parkway	93896	716571220373
478 Joliet Way	77948	657282285970
613 Korolev Drive	45844	380657522649
1531 Sal Drive	53628	648856936185
1542 Tarlac Parkway	1027	635297277345
808 Bhopal Manor	10672	465887807014
270 Amroha Parkway	29610	695479687538
770 Bydgoszcz Avenue	16266	517338314235
419 Iligan Lane	72878	990911107354
360 Toulouse Parkway	54308	949312333307
270 Toulon Boulevard	81766	407752414682
320 Brest Avenue	43331	747791594069
1417 Lancaster Avenue	72192	272572357893
1688 Okara Way	21954	144453869132
262 A Corua (La Corua) Parkway	34418	892775750063
28 Charlotte Amalie Street	37551	161968374323
1780 Hino Boulevard	7716	902731229323
96 Tafuna Way	99865	934730187245
934 San Felipe de Puerto Plata Street	99780	196495945706
18 Duisburg Boulevard	58327	998009777982
217 Botshabelo Place	49521	665356572025
1425 Shikarpur Manor	65599	678220867005
786 Aurora Avenue	65750	18461860151
1668 Anpolis Street	50199	525255540978
33 Gorontalo Way	30348	745994947458
176 Mandaluyong Place	65213	627705991774
127 Purnea (Purnia) Manor	79388	911872220378
61 Tama Street	94065	708403338270
391 Callao Drive	34021	440512153169
334 Munger (Monghyr) Lane	38145	481183273622
1440 Fukuyama Loop	47929	912257250465
269 Cam Ranh Parkway	34689	489783829737
306 Antofagasta Place	3989	378318851631
671 Graz Street	94399	680768868518
42 Brindisi Place	16744	42384721397
1632 Bislig Avenue	61117	471675840679
1447 Imus Way	48942	539758313890
1998 Halifax Drive	76022	177727722820
1718 Valencia Street	37359	675292816413
46 Pjatigorsk Lane	23616	262076994845
686 Garland Manor	52535	69493378813
909 Garland Manor	69367	705800322606
725 Isesaki Place	74428	876295323994
115 Hidalgo Parkway	80168	307703950263
1135 Izumisano Parkway	48150	171822533480
939 Probolinggo Loop	4166	680428310138
17 Kabul Boulevard	38594	697760867968
1964 Allappuzha (Alleppey) Street	48980	920811325222
1697 Kowloon and New Kowloon Loop	57807	499352017190
1668 Saint Louis Place	39072	347487831378
943 Tokat Street	45428	889318963672
1114 Liepaja Street	69226	212869228936
1213 Ranchi Parkway	94352	800024380485
81 Hodeida Way	55561	250767749542
915 Ponce Place	83980	1395251317
1717 Guadalajara Lane	85505	914090181665
1214 Hanoi Way	67055	491001136577
1966 Amroha Avenue	70385	333489324603
698 Otsu Street	71110	409983924481
1150 Kimchon Manor	96109	663449333709
1586 Guaruj Place	5135	947233365992
57 Arlington Manor	48960	990214419142
1031 Daugavpils Parkway	59025	107137400143
1124 Buenaventura Drive	6856	407733804223
492 Cam Ranh Street	50805	565018274456
89 Allappuzha (Alleppey) Manor	75444	255800440636
1947 Poos de Caldas Boulevard	60951	427454485876
1206 Dos Quebradas Place	20207	241832790687
1551 Rampur Lane	72394	251164340471
602 Paarl Street	98889	896314772871
1692 Ede Loop	9223	918711376618
936 Salzburg Lane	96709	875756771675
586 Tete Way	1079	18581624103
1888 Kabul Drive	20936	701457319790
320 Baiyin Parkway	37307	223664661973
927 Baha Blanca Parkway	9495	821972242086
929 Tallahassee Loop	74671	800716535041
125 Citt del Vaticano Boulevard	67912	48417642933
1557 Ktahya Boulevard	88002	720998247660
870 Ashqelon Loop	84931	135117278909
1740 Portoviejo Avenue	29932	198123170793
1942 Ciparay Parkway	82624	978987363654
1926 El Alto Avenue	75543	846225459260
1952 Chatsworth Drive	25958	991562402283
1370 Le Mans Avenue	52163	345679835036
984 Effon-Alaiye Avenue	17119	132986892228
832 Nakhon Sawan Manor	49021	275595571388
152 Kitwe Parkway	53182	835433605312
1697 Tanauan Lane	22870	4764773857
1308 Arecibo Way	30695	6171054059
1599 Plock Drive	71986	817248913162
669 Firozabad Loop	92265	412903167998
588 Vila Velha Manor	51540	333339908719
1913 Kamakura Place	97287	942570536750
733 Mandaluyong Place	77459	196568435814
659 Vaduz Drive	49708	709935135487
1177 Jelets Way	3305	484292626944
1386 Yangor Avenue	80720	449216226468
454 Nakhon Sawan Boulevard	76383	963887147572
1867 San Juan Bautista Tuxtepec Avenue	78311	547003310357
1532 Dzerzinsk Way	9599	330838016880
1002 Ahmadnagar Manor	93026	371490777743
682 Junan Way	30418	622255216127
804 Elista Drive	61069	379804592943
1378 Alvorada Avenue	75834	272234298332
793 Cam Ranh Avenue	87057	824370924746
1079 Tel Aviv-Jaffa Boulevard	10885	358178933857
442 Rae Bareli Place	24321	886636413768
1107 Nakhon Sawan Avenue	75149	867546627903
544 Malm Parkway	63502	386759646229
1967 Sincelejo Place	73644	577812616052
333 Goinia Way	78625	909029256431
1987 Coacalco de Berriozbal Loop	96065	787654415858
241 Mosul Lane	76157	765345144779
211 Chiayi Drive	58186	665993880048
1175 Tanauan Way	64615	937222955822
117 Boa Vista Way	6804	677976133614
848 Tafuna Manor	45142	614935229095
569 Baicheng Lane	60304	490211944645
1666 Qomsheh Drive	66255	582835362905
801 Hagonoy Drive	8439	237426099212
1050 Garden Grove Avenue	4999	973047364353
1854 Tieli Street	15819	509492324775
758 Junan Lane	82639	935448624185
1752 So Leopoldo Parkway	14014	252265130067
898 Belm Manor	49757	707169393853
261 Saint Louis Way	83401	321944036800
765 Southampton Drive	4285	23712411567
943 Johannesburg Avenue	5892	90921003005
788 Atinsk Street	81691	146497509724
1749 Daxian Place	11044	963369996279
1587 Sullana Lane	85769	468060467018
1029 Dzerzinsk Manor	57519	33173584456
1666 Beni-Mellal Place	13377	9099941466
928 Jaffna Loop	93762	581852137991
483 Ljubertsy Parkway	60562	581174211853
374 Bat Yam Boulevard	97700	923261616249
1027 Songkhla Manor	30861	563660187896
999 Sanaa Loop	3439	918032330119
879 Newcastle Way	90732	206841104594
1337 Lincoln Parkway	99457	597815221267
1952 Pune Lane	92150	354615066969
782 Mosul Street	25545	885899703621
781 Shimonoseki Drive	95444	632316273199
1560 Jelets Boulevard	77777	189446090264
1963 Moscow Place	64863	761379480249
456 Escobar Way	36061	719202533520
798 Cianjur Avenue	76990	499408708580
185 Novi Sad Place	41778	904253967161
1367 Yantai Manor	21294	889538496300
1386 Nakhon Sawan Boulevard	53502	368899174225
369 Papeete Way	66639	170117068815
1440 Compton Place	81037	931059836497
1623 Baha Blanca Manor	81511	149981248346
97 Shimoga Avenue	44660	177167004331
1740 Le Mans Loop	22853	168476538960
1287 Xiangfan Boulevard	57844	819416131190
842 Salzburg Lane	3313	697151428760
154 Tallahassee Loop	62250	935508855935
710 San Felipe del Progreso Avenue	76901	843801144113
1540 Wroclaw Drive	62686	182363341674
475 Atinsk Way	59571	201705577290
1294 Firozabad Drive	70618	161801569569
1877 Ezhou Lane	63337	264541743403
316 Uruapan Street	58194	275788967899
29 Pyongyang Loop	47753	734780743462
1010 Klerksdorp Way	6802	493008546874
1848 Salala Boulevard	25220	48265851133
431 Xiangtan Avenue	4854	230250973122
757 Rustenburg Avenue	89668	506134035434
146 Johannesburg Way	54132	953689007081
1891 Rizhao Boulevard	47288	391065549876
1089 Iwatsuki Avenue	35109	866092335135
1410 Benin City Parkway	29747	104150372603
682 Garden Grove Place	67497	72136330362
533 al-Ayn Boulevard	8862	662227486184
1839 Szkesfehrvr Parkway	55709	947468818183
741 Ambattur Manor	43310	302590383819
927 Barcelona Street	65121	951486492670
435 0 Way	74750	760171523969
